num,title,artist,songNum,year,genre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
229,행복하지 말아요,M.C THE MAX !,45046,2004,Rock,5XyvfAC8S62CHQL2Z3BVYP,0.353,0.496,2,-6.991,1,0.0289,0.644,0,0.104,0.22,141.772
230,폰서트,10cm,90497,2017,Rock,47CcHKISaUPsK4QkO9ERFc,0.858,0.481,9,-3.649,1,0.104,0.391,0,0.128,0.773,107.96
231,비상,임재범,7153,1997,Rock,6YZQnBMOVFYsUERkP1BjsM,0.51,0.396,0,-11.616,1,0.0251,0.516,5.18e-06,0.187,0.259,143.877
232,나는 나비,윤도현밴드,85183,2006,Rock,3I71PFicYG614VGl6hqcUK,0.593,0.708,11,-1.247,1,0.0382,0.0252,0,0.105,0.283,127.031
233,겁쟁이,버즈,45151,2005,Rock,2xHahRoYZyVXOZWptGajm0,0.485,0.302,0,-7.466,1,0.0354,0.615,0,0.103,0.0817,144.222
234,응급실 (Original Version),izi,22030,2020,Rock,5XVEx1pTUR4T7ABtXoGGxx,0.579,0.374,3,-6.64,1,0.0272,0.593,0,0.114,0.217,139.917
235,서시,신성우,3446,1994,Rock,03epai6ESS55xb5xJ77Vis,0.281,0.594,1,-5.386,1,0.0352,0.585,0,0.131,0.257,167.994
236,나에게로 떠나는 여행,버즈,45229,2005,Rock,6lxNUHy9mix23jV3m6IzlF,0.409,0.867,7,-4.496,1,0.358,0.00238,2.91e-05,0.168,0.612,168.01
237,그래서 그대는,얀(Yarn),9034,2002,Rock,5aVuzoktGBQRedWuHqRhLC,0.344,0.643,2,-3.945,1,0.0362,0.368,0,0.208,0.0993,135.459
238,중독된 사랑,조장혁,6431,2000,Rock,5NtAjS4i0wEFK0lvvuSAVb,0.423,0.487,5,-5.854,1,0.0278,0.17,4.32e-05,0.133,0.189,131.775
239,"Endless (드라마""눈꽃""삽입곡)",FLOWER,6658,2000,Rock,6d4ffyZC90gygjunotYCEU,0.39,0.593,0,-5.211,1,0.0325,0.26,0,0.155,0.316,73.893
240,발걸음,에메랄드 케슬,4984,1997,Rock,0j9nNF4wJbk8ILrGTilZLG,0.275,0.532,6,-4.874,1,0.0366,0.589,0,0.113,0.291,134.834
241,사랑할수록,부활,3356,1993,Rock,30GH7aoSEBD9YmgSy83K85,0.489,0.384,8,-8.026,1,0.0264,0.173,0.000923,0.1,0.207,133.956
242,진혼,야다,6711,2000,Rock,2BxUjHQRrYX82cP3wDvOTU,0.362,0.35,2,-7.269,0,0.0317,0.178,3.01e-06,0.32,0.0791,143.782
243,걱정말아요 그대,전인권,45040,2004,Rock,79UKuDEL1EZLAKSW2oGFzX,0.529,0.473,7,-6.564,1,0.0319,0.267,9.62e-06,0.287,0.29,129.142
244,주저하는 연인들을 위해,잔나비,79781,2019,Rock,5BqwC9kOBbqYkzdOKeXFFk,0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004
245,모나리자,조용필,1665,1988,Rock,3tqAk7XnhzpWV0vjEtrf9U,0.694,0.633,7,-12.452,0,0.0302,0.34,0.00292,0.0736,0.89,139.813
246,"돌덩이 (드라마""이태원 클라쓰"")",하현우,27612,2020,Rock,6A9QEWYXpXLMeJLRjGsIJ1,0.442,0.787,8,-3.889,0,0.0937,0.407,0,0.108,0.414,127.979
247,낭만 고양이,CHERRY FILTER,62666,2002,Rock,1NkXsa1HJZiyf77uqeeaEO,0.261,0.917,10,-4.429,1,0.108,0.00179,6.08e-06,0.711,0.347,167.779
248,사랑앓이,FT아일랜드,45962,2007,Rock,74KrjA5CWRr2elkzhJo6si,0.518,0.708,0,-4.389,0,0.0375,0.252,0,0.176,0.22,119.847
249,여행을 떠나요,조용필,3493,1985,Rock,6NfeBM6CHfPMIOHy5ZwQFl,0.611,0.851,4,-4.719,1,0.0384,0.125,0.000155,0.147,0.73,150.005
250,"사랑,결코 시들지 않는...",서문탁,6135,1999,Rock,0DXhrYTbsMhFBKiqmDtkd7,0.497,0.637,11,-5.963,1,0.0329,0.0374,0,0.244,0.367,144.178
251,고해,임재범,7033,1998,Rock,1cEODRpsqyAvzQvYJnDcGu,0.432,0.678,0,-7.201,1,0.0323,0.0511,1.5e-06,0.152,0.139,75.038
252,애상,10cm,77150,2012,Rock,2eCIpp1f2jrJzVrpaASqlq,0.754,0.38,4,-4.2,1,0.0438,0.687,0,0.133,0.669,123.891
253,나에게로의 초대,정경화,4139,2004,Rock,2Ta4SIixNaiqFAHKuzp7Bp,0.501,0.519,9,-5.933,1,0.0391,0.387,0,0.115,0.0798,147.82
254,사랑의 바보,The Nuts,64438,2004,Rock,3wYDgvDi82GUU1NPy2roYp,0.626,0.657,0,-5.535,1,0.0424,0.0623,0,0.218,0.5,117.956
255,당신을 위하여,THE CROSS,65729,2003,Rock,5qTEVUFXNLwFtbwZiNiVwZ,0.485,0.57,7,-4.566,0,0.0271,0.334,3.89e-06,0.105,0.191,93.963
256,다시 사랑한다면,도원경,6919,2001,Rock,4NMeQFj4A8dUj0oTaaZutP,0.506,0.483,11,-5.934,1,0.0275,0.1,0,0.167,0.142,153.924
257,You,김상민,7525,2001,Rock,1GnTzUeL8ODarfYhkiq7Zf,0.459,0.549,7,-6.377,0,0.0273,0.16,0,0.141,0.262,144.102
258,"내 생에 봄날은.. (드라마""피아노""O.S.T)",CAN,7655,2001,Rock,5WnA63jyZTbKL9PeDaWh9O,0.619,0.833,2,-4.086,0,0.0388,0.104,0,0.328,0.712,115.888
259,유리의 성 #Story III,K2,6156,2002,Rock,1nRGFwRAMkmHsw26JfZIp4,0.325,0.741,5,-4.697,1,0.0506,0.234,0,0.884,0.239,143.744
260,박하사탕,윤도현밴드,7640,2010,Rock,4kiCS23srHAIEy8YUTLzjQ,0.44,0.609,9,-6.82,1,0.0393,0.0458,3.37e-06,0.109,0.429,180.208
261,아름다운 구속,김종서,4906,1996,Rock,7gjzyf9vpxjteDy6yvEiwS,0.273,0.695,10,-5.219,1,0.0401,0.246,0,0.142,0.0717,135.233
262,나를 슬프게 하는 사람들,김경호,5015,1997,Rock,5iLmnY05ksZwMZmEQxkyuC,0.235,0.464,6,-8.887,0,0.0362,0.464,1.75e-06,0.14,0.15,73.279
263,Don't Cry,THE CROSS,9486,2003,Rock,5wJOqoOsEqJWoHaisUpDVV,0.456,0.457,5,-5.65,1,0.0254,0.762,0.000286,0.17,0.182,78.532
264,"마리아(Maria) (영화""미녀는 괴로워"")",김아중,45783,2006,Rock,1EV9aadh7iTZetS5L7jcu9,0.637,0.733,11,-3.748,1,0.0357,0.00226,0.00168,0.0534,0.657,80.056
265,눈물,FLOWER,7197,1999,Rock,4DSuNseoQlb4X4sGamoxWP,0.513,0.473,0,-5.515,1,0.0259,0.699,0,0.0926,0.249,76.357
266,비밀번호486,윤하,45877,2007,Rock,4UJFboVdkS4JvnCG5CjipR,0.622,0.882,9,-2.886,1,0.106,0.0867,0,0.0931,0.726,136.923
267,"우리의 꿈 (만화""원피스"")",코요태,64644,2005,Rock,4v62eKhSpKkzWVIirLxlDa,0.579,0.88,6,-1.485,1,0.0537,0.175,0,0.15,0.448,149.913
268,밤이 깊었네,CRYING NUT,6943,2001,Rock,71yXrG7UY3myMhpn2QiMh4,0.719,0.613,9,-5.28,1,0.0475,0.194,2.38e-05,0.359,0.301,115.169
269,별,M.C THE MAX !,64226,2003,Rock,3SoVudEgQdJJP1EF1jm89v,0.46,0.481,10,-7.654,1,0.0317,0.507,0,0.106,0.104,70.12
270,pet,10cm,90522,2017,Rock,02ZdsqufZLJ4MmmgXDGokA,0.888,0.521,2,-4.837,1,0.0348,0.776,0,0.348,0.827,105.97
271,"스물다섯, 스물하나",자우림,48246,2013,Rock,3mQwOUjViw1cpwUYugndPV,0.245,0.504,0,-6.337,1,0.0325,0.184,0.000373,0.149,0.15,156.904
272,...라구요,강산에,1428,1993,Rock,3CKZFUf9T6iFzCTJrSVvIe,0.661,0.156,7,-15.484,1,0.0296,0.164,0,0.0624,0.452,94.036
273,애정 표현,FLOWER,6898,2000,Rock,6XM3zMkuGUr2JJ1d0Kd2oI,0.443,0.816,0,-7.547,1,0.0337,0.00193,0,0.3,0.667,180.034
274,흰수염고래,윤도현밴드,58464,2011,Rock,5kYbCBVmANyEBAEEencFfo,0.282,0.489,0,-5.24,1,0.0381,0.101,0,0.0822,0.142,175.383
275,그것만이 내 세상,들국화,1329,1985,Rock,5fUHeKHYntekbkf6FybjLs,0.484,0.486,5,-8.129,1,0.029,0.0184,1.68e-05,0.113,0.157,96.893
276,오리 날다,CHERRY FILTER,9526,2003,Rock,00ddDV60MFTJkWSGC7IGIv,0.444,0.912,10,-1.833,1,0.191,0.00638,0.000272,0.103,0.698,158.07
277,밥만 잘 먹더라,"창민,이현",47097,2010,Rock,2D70Ed98oPbMOBuQ1enlNc,0.691,0.825,2,-5.92,1,0.0296,0.268,0,0.275,0.709,125.995
278,여수 밤바다,버스커 버스커,77221,2012,Rock,6c1mf1kaoeE36Dd2wUdX1P,0.239,0.498,4,-6.182,1,0.042,0.348,7.83e-06,0.0958,0.227,199.19
279,LONELY NIGHT,부활,5087,1997,Rock,5pHYQ1TuV7Ye5WWYcAxFjE,0.452,0.868,6,-4.374,1,0.0508,0.00109,1.46e-06,0.414,0.432,96.879
280,기억을 걷는 시간,NELL,46244,2008,Rock,6XkrfYmgPGSvgufoivTQgj,0.399,0.331,10,-9.221,1,0.0478,0.858,1.38e-06,0.11,0.193,171.208
281,"잊었니 (드라마""신들의 만찬"")",이승철,47662,2012,Rock,3FWt5xWWsoi8BYJIgl9j2m,0.544,0.404,6,-9.156,0,0.0268,0.553,0,0.274,0.385,89.192
282,벚꽃 엔딩,버스커 버스커,47700,2012,Rock,4eFTh1opLS5wANDmZK9ghC,0.621,0.669,9,-5.303,1,0.0312,0.739,0,0.138,0.663,119.947
283,My Love,이승철,48140,2013,Rock,5jc9XMXeppBFkuPf8MO4tt,0.452,0.372,9,-7.657,1,0.027,0.781,2.33e-06,0.103,0.554,147.921
284,사랑은 은하수 다방에서,10cm,86807,2011,Rock,6k6Llm7Kw3Ad1Xo1e6sIcR,0.759,0.333,11,-8.68,0,0.0357,0.246,0,0.222,0.673,121.831
285,잊을께,윤도현밴드,63748,2003,Rock,5Ermk04tSk2Z7mfVDcP6EG,0.628,0.629,7,-5.112,1,0.029,0.0457,0.000267,0.113,0.739,131.948
